Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-5620912,"Anchoring of the basal body to the plasma membrane",1,99,0,101,0.0070417526139839245,0.8827100168690769,0.8827100168690769,8,9,7.510013351134847E-4,9606,Homo sapiens,"DLC1","",,,"R-HSA-5626228;R-HSA-5626227;R-HSA-5626220;R-HSA-5626223;R-HSA-5626681;R-HSA-5617816;R-HSA-5626699;R-HSA-5638009"
R-HSA-2426168,"Activation of gene expression by SREBF (SREBP)",1,70,3,116,0.004979016999786614,0.8827100168690769,0.8827100168690769,11,42,0.0035046728971962616,9606,Homo sapiens,"MTF1","Q14872",ELOVL4;CLN5;RUNX1T1,P37268;P08047,"R-HSA-2426148;R-HSA-1655850;R-HSA-2426161;R-HSA-2426163;R-HSA-2426146;R-HSA-2426157;R-HSA-2426156;R-HSA-1655826;R-HSA-2426153;R-HSA-2426152;R-HSA-2426155"
R-HSA-5358351,"Signaling by Hedgehog",4,168,3,393,0.011949640799487873,0.8836150092575366,0.8836150092575366,30,82,0.006842456608811749,9606,Homo sapiens,"HHIP;GLI1","ENSG00000164161;P08151;Q96QV1;ENSG00000111087",GLI1;BICD1;TP63,Q96J02;P49841;Q9UMX1,"R-HSA-5635861;R-HSA-5635860;R-HSA-5635859;R-HSA-5635868;R-HSA-5635864;R-HSA-445448;R-HSA-5635845;R-HSA-5610757;R-HSA-5617412;R-HSA-5610758;R-HSA-5635846;R-HSA-5635841;R-HSA-5617408;R-HSA-5635843;R-HSA-5635842;R-HSA-5610754;R-HSA-5635853;R-HSA-5610767;R-HSA-5610766;R-HSA-5610760;R-HSA-5635848;R-HSA-5635850;R-HSA-5610741;R-HSA-5610742;R-HSA-5610737;R-HSA-5635839;R-HSA-5610723;R-HSA-5610732;R-HSA-5610735;R-HSA-5610730"
R-HSA-210745,"Regulation of gene expression in beta cells",1,35,2,150,0.002489508499893307,0.8840968953526533,0.8840968953526533,4,12,0.0010013351134846463,9606,Homo sapiens,"FOXO1","Q12778",SLC12A8;CGGBP1,P26367,"R-HSA-211178;R-HSA-211289;R-HSA-211272;R-HSA-211164"
R-HSA-3215018,"Processing and activation of SUMO",0,13,1,177,9.246745856746568E-4,0.8854674438519554,0.8854674438519554,5,9,7.510013351134847E-4,9606,Homo sapiens,"","",SATB1,P63165;P63279,"R-HSA-2993790;R-HSA-2993769;R-HSA-2990840;R-HSA-2993780;R-HSA-2990833"
R-HSA-975871,"MyD88 cascade initiated on plasma membrane",3,94,5,377,0.006686108542570596,0.8864827151098729,0.8864827151098729,11,57,0.004756341789052069,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",TLE1;SGK1;ETS1;CREB5;FKBP5,P01100;P15336;P05412;O15111;P16220,"R-HSA-450292;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-168053;R-HSA-168440;R-HSA-168136;R-HSA-199935;R-HSA-199917"
R-HSA-159236,"Transport of Mature mRNA derived from an Intron-Containing Transcript",0,81,2,117,0.005761433956895938,0.8868218538344809,0.8868218538344809,1,4,3.337783711615487E-4,9606,Homo sapiens,"","",ATXN1;ETS1,P26368;Q05519,"R-HSA-75096"
R-HSA-9603381,"Activated NTRK3 signals through PI3K",0,10,1,176,7.11288142826659E-4,0.8868218538344809,0.8868218538344809,1,5,4.1722296395193593E-4,9606,Homo sapiens,"","",INSR,P35568,"R-HSA-9603437"
R-HSA-425410,"Metal ion SLC transporters",0,33,1,157,0.002347250871327975,0.8868218538344809,0.8868218538344809,1,20,0.0016688918558077437,9606,Homo sapiens,"","",ELOVL4,Q8IWU4,"R-HSA-437136"
R-HSA-168176,"Toll Like Receptor 5 (TLR5) Cascade",3,94,5,378,0.006686108542570596,0.8874088903695359,0.8874088903695359,11,58,0.0048397863818424565,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",TLE1;SGK1;ETS1;CREB5;FKBP5,P01100;P15336;P05412;O15111;P16220,"R-HSA-450292;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-168053;R-HSA-168440;R-HSA-168136;R-HSA-199935;R-HSA-199917"
R-HSA-168142,"Toll Like Receptor 10 (TLR10) Cascade",3,94,5,379,0.006686108542570596,0.8874088903695359,0.8874088903695359,11,58,0.0048397863818424565,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",TLE1;SGK1;ETS1;CREB5;FKBP5,P01100;P15336;P05412;O15111;P16220,"R-HSA-450292;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-168053;R-HSA-168440;R-HSA-168136;R-HSA-199935;R-HSA-199917"
R-HSA-6803204,"TP53 Regulates Transcription of Genes Involved in Cytochrome C Release",1,33,2,156,0.002347250871327975,0.8881603145323147,0.8881603145323147,7,25,0.0020861148197596794,9606,Homo sapiens,"TP63","Q9H3D4",BCL2;FOXO1,Q13794;Q9BXH1;P55957;Q07812;Q92793,"R-HSA-3700984;R-HSA-140214;R-HSA-139913;R-HSA-6791291;R-HSA-3700981;R-HSA-4331340;R-HSA-6797993"
R-HSA-193639,"p75NTR signals via NF-kB",0,19,2,176,0.0013514474713706523,0.8881603145323147,0.8881603145323147,3,13,0.0010847797062750334,9606,Homo sapiens,"","",GRK5;GLI1,P41743;P25963,"R-HSA-209536;R-HSA-193684;R-HSA-193705"
R-HSA-983189,"Kinesins",1,68,0,121,0.0048367593712212815,0.8881603145323147,0.8881603145323147,3,14,0.0011682242990654205,9606,Homo sapiens,"KIF2A","",,,"R-HSA-983259;R-HSA-990489;R-HSA-983266"
R-HSA-6781827,"Transcription-Coupled Nucleotide Excision Repair (TC-NER)",0,85,1,108,0.006045949214026602,0.889483012968105,0.889483012968105,2,16,0.0013351134846461949,9606,Homo sapiens,"","",CITED2,Q09472,"R-HSA-6782004;R-HSA-6782234"
R-HSA-6794362,"Protein-protein interactions at synapses",1,93,2,100,0.006614979728287929,0.8920818602508636,0.8920818602508636,5,33,0.002753671562082777,9606,Homo sapiens,"HOMER2","Q9NSB8",ID2;ITGA2,Q96HC4;Q9H0F6,"R-HSA-6794355;R-HSA-6794354;R-HSA-6794351;R-HSA-6794347;R-HSA-6794344"
R-HSA-9609507,"Protein localization",0,133,1,59,0.009460132299594566,0.8920818602508636,0.8920818602508636,1,40,0.0033377837116154874,9606,Homo sapiens,"","",MEIS2,Q9Y5J6,"R-HSA-1955380"
R-HSA-156711,"Polo-like kinase mediated events",0,23,2,172,0.0016359627285013158,0.893358372325698,0.893358372325698,2,15,0.0012516688918558078,9606,Homo sapiens,"","",CITED2;FOXO1,P14635;Q09472,"R-HSA-4088298;R-HSA-4088162"
R-HSA-382556,"ABC-family proteins mediated transport",1,124,0,70,0.008819972971050572,0.893358372325698,0.893358372325698,1,28,0.002336448598130841,9606,Homo sapiens,"ABCC5","",,,"R-HSA-1454916"
R-HSA-450408,"AUF1 (hnRNP D0) binds and destabilizes mRNA",0,56,1,141,0.003983213599829291,0.8958664655610676,0.8958664655610676,1,4,3.337783711615487E-4,9606,Homo sapiens,"","",RBM4,Q04637,"R-HSA-450551"
R-HSA-2179392,"EGFR Transactivation by Gastrin",0,12,2,183,8.535457713919909E-4,0.8958664655610676,0.8958664655610676,1,6,5.006675567423231E-4,9606,Homo sapiens,"","",SH3BGRL;CAV2,P00533,"R-HSA-2179387"
R-HSA-6804754,"Regulation of TP53 Expression",0,4,2,189,2.8451525713066365E-4,0.8970983973717418,0.8970983973717418,2,5,4.1722296395193593E-4,9606,Homo sapiens,"","",BCL2;TP63,P04637,"R-HSA-6804188;R-HSA-6804762"
R-HSA-1266695,"Interleukin-7 signaling",1,31,2,167,0.002204993242762643,0.8983158163356255,0.8983158163356255,15,25,0.0020861148197596794,9606,Homo sapiens,"IL7R","P16871",IL7R;BICD1,P40763;P13232,"R-HSA-449958;R-HSA-1295540;R-HSA-6785165;R-HSA-1295519;R-HSA-8983077;R-HSA-8983078;R-HSA-1295516;R-HSA-1266684;R-HSA-8983003;R-HSA-1264832;R-HSA-9025969;R-HSA-8983059;R-HSA-8983061;R-HSA-449978;R-HSA-8983063"
R-HSA-8943724,"Regulation of PTEN gene transcription",1,70,3,126,0.004979016999786614,0.8983158163356255,0.8983158163356255,4,15,0.0012516688918558078,9606,Homo sapiens,"EGR1","P18146",TLE1;ETS1;CREB5,P15336;P05412,"R-HSA-8944104;R-HSA-8944397;R-HSA-8944078;R-HSA-8944047"
R-HSA-180292,"GAB1 signalosome",0,23,2,177,0.0016359627285013158,0.8983158163356255,0.8983158163356255,2,11,9.17890520694259E-4,9606,Homo sapiens,"","",INSR;IGF1R,Q06124;P41240,"R-HSA-177923;R-HSA-177944"
R-HSA-5693554,"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)",0,30,1,171,0.0021338644284799773,0.8995188927001241,0.8995188927001241,1,1,8.344459279038718E-5,9606,Homo sapiens,"","",ATXN1,Q92993,"R-HSA-5693589"
R-HSA-390466,"Chaperonin-mediated protein folding",1,100,0,96,0.007112881428266591,0.8995188927001241,0.8995188927001241,2,19,0.0015854472630173564,9606,Homo sapiens,"GNG11","",,,"R-HSA-6814418;R-HSA-8850560"
R-HSA-1660661,"Sphingolipid de novo biosynthesis",1,79,1,120,0.005619176328330607,0.8995188927001241,0.8995188927001241,2,30,0.0025033377837116156,9606,Homo sapiens,"BCL2","Q06136",ELOVL4,Q7L5A8,"R-HSA-5693761;R-HSA-428123"
R-HSA-975155,"MyD88 dependent cascade initiated on endosome",3,103,5,386,0.0073262678711145885,0.9013392238932633,0.9013392238932633,11,62,0.005173564753004005,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",TLE1;SGK1;ETS1;CREB5;FKBP5,P01100;P15336;P05412;O15111;P16220,"R-HSA-450292;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-168053;R-HSA-168440;R-HSA-168136;R-HSA-199935;R-HSA-199917"
R-HSA-168181,"Toll Like Receptor 7/8 (TLR7/8) Cascade",3,103,5,386,0.0073262678711145885,0.9013392238932633,0.9013392238932633,11,63,0.005257009345794392,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",TLE1;SGK1;ETS1;CREB5;FKBP5,P01100;P15336;P05412;O15111;P16220,"R-HSA-450292;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-168053;R-HSA-168440;R-HSA-168136;R-HSA-199935;R-HSA-199917"
R-HSA-69541,"Stabilization of p53",0,59,2,144,0.004196600042677289,0.9018826887003786,0.9018826887003786,6,15,0.0012516688918558078,9606,Homo sapiens,"","",ETS1;IGF1R,Q8NHY2;Q00987,"R-HSA-349444;R-HSA-6804741;R-HSA-264418;R-HSA-264435;R-HSA-264444;R-HSA-6804955"
R-HSA-6804114,"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",1,21,3,181,0.001493705099935984,0.9030437389798561,0.9030437389798561,4,11,9.17890520694259E-4,9606,Homo sapiens,"TFDP2","Q14188",CITED2;BCL2;QKI,Q86X55;Q07812;Q09472,"R-HSA-3215152;R-HSA-6803892;R-HSA-6798268;R-HSA-6798282"
R-HSA-5260271,"Diseases of Immune System",0,34,1,177,0.0024183796856106408,0.904191107992858,0.904191107992858,2,14,0.0011682242990654205,9606,Homo sapiens,"","",FKBP5,O15111,"R-HSA-5228840;R-HSA-5262921"
R-HSA-5602358,"Diseases associated with the TLR signaling cascade",0,34,1,177,0.0024183796856106408,0.904191107992858,0.904191107992858,2,14,0.0011682242990654205,9606,Homo sapiens,"","",FKBP5,O15111,"R-HSA-5228840;R-HSA-5262921"
R-HSA-5696395,"Formation of Incision Complex in GG-NER",0,47,1,161,0.003343054271285298,0.904191107992858,0.904191107992858,1,10,8.344459279038719E-4,9606,Homo sapiens,"","",SATB1,P63279,"R-HSA-6790454"
R-HSA-111996,"Ca-dependent events",0,47,4,156,0.003343054271285298,0.9053249562720924,0.9053249562720924,4,26,0.0021695594125500667,9606,Homo sapiens,"","",DUSP4;BCL2;SGK1;ETS1,P28482;P16220,"R-HSA-111912;R-HSA-111898;R-HSA-111916;R-HSA-111919"
R-HSA-844456,"The NLRP3 inflammasome",0,23,2,184,0.0016359627285013158,0.9053249562720924,0.9053249562720924,1,18,0.0015020026702269693,9606,Homo sapiens,"","",FKBP5;EPHA2,P08238,"R-HSA-874087"
R-HSA-427413,"NoRC negatively regulates rRNA expression",1,80,1,131,0.005690305142613272,0.9064454424746047,0.9064454424746047,4,7,5.841121495327102E-4,9606,Homo sapiens,"H3F3B;H3F3A","P84243",ZMYM2,Q13547;Q92769,"R-HSA-427409;R-HSA-5227490;R-HSA-433672;R-HSA-427337"
R-HSA-5693568,"Resolution of D-loop Structures through Holliday Junction Intermediates",0,36,1,175,0.0025606373141759727,0.9064454424746047,0.9064454424746047,3,9,7.510013351134847E-4,9606,Homo sapiens,"","",ATXN1,Q92993,"R-HSA-5686469;R-HSA-5686483;R-HSA-5686410"
R-HSA-1234174,"Regulation of Hypoxia-inducible Factor (HIF) by oxygen",1,83,3,133,0.005903691585461271,0.9064454424746047,0.9064454424746047,3,20,0.0016688918558077437,9606,Homo sapiens,"CITED2","Q99967",RBM4;CITED2;FOXO1,Q99814;Q92793;Q09472,"R-HSA-1234179;R-HSA-1234166;R-HSA-1234167"
R-HSA-2262749,"Cellular response to hypoxia",1,83,3,133,0.005903691585461271,0.9064454424746047,0.9064454424746047,3,20,0.0016688918558077437,9606,Homo sapiens,"CITED2","Q99967",RBM4;CITED2;FOXO1,Q99814;Q92793;Q09472,"R-HSA-1234179;R-HSA-1234166;R-HSA-1234167"
R-HSA-5655291,"Signaling by FGFR4 in disease",0,18,1,187,0.0012803186570879864,0.9064454424746047,0.9064454424746047,2,15,0.0012516688918558078,9606,Homo sapiens,"","",INSR,P19174,"R-HSA-5655313;R-HSA-5655336"
R-HSA-168138,"Toll Like Receptor 9 (TLR9) Cascade",3,107,5,389,0.007610783128245252,0.9069321428360662,0.9069321428360662,11,66,0.005507343124165554,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",TLE1;SGK1;ETS1;CREB5;FKBP5,P01100;P15336;P05412;O15111;P16220,"R-HSA-450292;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-168053;R-HSA-168440;R-HSA-168136;R-HSA-199935;R-HSA-199917"
R-HSA-4641262,"Disassembly of the destruction complex and recruitment of AXIN to the membrane",1,33,5,177,0.002347250871327975,0.9075527234035996,0.9075527234035996,3,7,5.841121495327102E-4,9606,Homo sapiens,"PPP2R1B","P30154",EGR1;JUP;SATB1;BICD1;IGF1R,P25054;P49841;P35222,"R-HSA-201685;R-HSA-3601585;R-HSA-5323526"
R-HSA-5663213,"RHO GTPases Activate WASPs and WAVEs",0,41,1,168,0.0029162813855893024,0.9075527234035996,0.9075527234035996,1,10,8.344459279038719E-4,9606,Homo sapiens,"","",KANK1,Q9UQB8,"R-HSA-2029465"
R-HSA-2173795,"Downregulation of SMAD2/3:SMAD4 transcriptional activity",0,27,1,185,0.0019204779856319795,0.9075527234035996,0.9075527234035996,1,21,0.0017523364485981308,9606,Homo sapiens,"","",ZMYM2,Q13547,"R-HSA-2186607"
R-HSA-5693537,"Resolution of D-Loop Structures",0,37,1,176,0.0026317661284586385,0.9086469540300128,0.9086469540300128,4,10,8.344459279038719E-4,9606,Homo sapiens,"","",ATXN1,Q92993,"R-HSA-5686469;R-HSA-5693589;R-HSA-5686483;R-HSA-5686410"
R-HSA-6804760,"Regulation of TP53 Activity through Methylation",0,23,1,183,0.0016359627285013158,0.9086469540300128,0.9086469540300128,1,12,0.0010013351134846463,9606,Homo sapiens,"","",CITED2,Q09472,"R-HSA-6804229"
R-HSA-203615,"eNOS activation",0,37,5,169,0.0026317661284586385,0.90972828751382,0.90972828751382,5,20,0.0016688918558077437,9606,Homo sapiens,"","",ASXL1;ELOVL4;CAV2;FOXO1;FKBP5,P07900;P31749;Q03135;Q8IVQ6,"R-HSA-202129;R-HSA-202144;R-HSA-203712;R-HSA-202137;R-HSA-203567"
R-HSA-1295596,"Spry regulation of FGF signaling",0,19,4,188,0.0013514474713706523,0.90972828751382,0.90972828751382,2,11,9.17890520694259E-4,9606,Homo sapiens,"","",INSR;RUNX1T1;CREB5;IGF1R,O43597;Q06124,"R-HSA-1295604;R-HSA-1549564"
R-HSA-8936459,"RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",2,78,4,270,0.005548047514047941,0.9099770268779763,0.9099770268779763,33,33,0.002753671562082777,9606,Homo sapiens,"H3F3B;H3F3A;RUNX1","P84243;Q01196",EFEMP1;ZMYM2;CITED2;HMGA2,Q92570;Q96LA8;Q13547;Q09472,"R-HSA-8936584;R-HSA-8937097;R-HSA-8937037;R-HSA-8934735;R-HSA-8938176;R-HSA-8938328;R-HSA-8937113;R-HSA-8938201;R-HSA-8937050;R-HSA-8936989;R-HSA-8937118;R-HSA-8936979;R-HSA-8934742;R-HSA-8936599;R-HSA-8938199;R-HSA-8936616;R-HSA-8936621;R-HSA-8938158;R-HSA-8936608;R-HSA-8936481;R-HSA-8938338;R-HSA-8936995;R-HSA-8938022;R-HSA-8938150;R-HSA-8937016;R-HSA-8935740;R-HSA-8937022;R-HSA-8938174;R-HSA-8935730;R-HSA-8938034;R-HSA-8935731;R-HSA-8935732;R-HSA-8936628"
R-HSA-2299718,"Condensation of Prophase Chromosomes",1,55,1,154,0.003912084785546625,0.9118528667649723,0.9118528667649723,9,10,8.344459279038719E-4,9606,Homo sapiens,"H3F3B;H3F3A","P84243",FOXO1,Q01105,"R-HSA-2245218;R-HSA-2429719;R-HSA-2288097;R-HSA-2301205;R-HSA-2294580;R-HSA-2172678;R-HSA-2294600;R-HSA-2294574;R-HSA-2294590"
R-HSA-5621575,"CD209 (DC-SIGN) signaling",0,29,1,189,0.0020627356141973115,0.9118528667649723,0.9118528667649723,1,11,9.17890520694259E-4,9606,Homo sapiens,"","",OGT,Q04206,"R-HSA-5660980"
R-HSA-8984722,"Interleukin-35 Signalling",0,16,1,194,0.0011380610285226546,0.9118528667649723,0.9118528667649723,2,26,0.0021695594125500667,9606,Homo sapiens,"","",BICD1,P40763,"R-HSA-8984021;R-HSA-8984023"
R-HSA-1483249,"Inositol phosphate metabolism",1,90,0,118,0.006401593285439932,0.9118528667649723,0.9118528667649723,1,71,0.00592456608811749,9606,Homo sapiens,"PLCB1","",,,"R-HSA-1855177"
R-HSA-176408,"Regulation of APC/C activators between G1/S and early anaphase",0,82,2,138,0.005832562771178605,0.9128964099859482,0.9128964099859482,2,14,0.0011682242990654205,9606,Homo sapiens,"","",INSR;ZNF207,O43684;Q13257,"R-HSA-141429;R-HSA-141437"
R-HSA-622312,"Inflammasomes",1,33,3,186,0.002347250871327975,0.9128964099859482,0.9128964099859482,3,28,0.002336448598130841,9606,Homo sapiens,"BCL2","P10415",BCL2;FKBP5;EPHA2,P08238;Q9C000,"R-HSA-844447;R-HSA-874087;R-HSA-879201"
R-HSA-1614635,"Sulfur amino acid metabolism",0,94,1,115,0.006686108542570596,0.9128964099859482,0.9128964099859482,2,37,0.003087449933244326,9606,Homo sapiens,"","",CGGBP1,Q99757,"R-HSA-9035227;R-HSA-9035484"
R-HSA-68886,"M Phase",4,390,1,215,0.027740237570239704,0.9131562499614282,0.9131562499614282,19,66,0.005507343124165554,9606,Homo sapiens,"KIF2A;H3F3B;PPP2R1B;DLC1;H3F3A","O00139;P63167;P84243;P30154",FOXO1,Q01105,"R-HSA-2245218;R-HSA-2288097;R-HSA-375302;R-HSA-2467809;R-HSA-2467811;R-HSA-2172678;R-HSA-1638803;R-HSA-2294600;R-HSA-2294574;R-HSA-2429719;R-HSA-2484822;R-HSA-2301205;R-HSA-2294580;R-HSA-380316;R-HSA-380508;R-HSA-2468287;R-HSA-1638821;R-HSA-2294590;R-HSA-2430552"
R-HSA-109581,"Apoptosis",7,187,10,791,0.013301088270858524,0.9144403995896437,0.9144403995896437,61,139,0.011598798397863819,9606,Homo sapiens,"DFFB;TFDP2;SATB1;DLC1;BCL2;TP63","P63167;P10415;ENSG00000171791;Q01826;Q14188;Q9H3D4;O76075",DFFB;EGR1;JUP;PPP2R1B;SATB1;DLC1;BCL2;RUNX1T1;EPHA2;IGF1R,Q96LC9;O43521;P51572;P25054;Q16611;P10415;Q13794;Q92934;P55957;P15924;Q07812;Q13490;P98170;Q9NR28;Q9BXH1;Q9Y6E0;O00273;Q05397;P35222,"R-HSA-139906;R-HSA-114307;R-HSA-139905;R-HSA-508163;R-HSA-211207;R-HSA-211206;R-HSA-139908;R-HSA-139909;R-HSA-139914;R-HSA-352268;R-HSA-139913;R-HSA-139918;R-HSA-139919;R-HSA-4331340;R-HSA-139917;R-HSA-168848;R-HSA-139920;R-HSA-351894;R-HSA-168849;R-HSA-351901;R-HSA-211224;R-HSA-201634;R-HSA-211239;R-HSA-201636;R-HSA-9029667;R-HSA-211247;R-HSA-114352;R-HSA-140214;R-HSA-141367;R-HSA-140216;R-HSA-140217;R-HSA-140221;R-HSA-202947;R-HSA-9627350;R-HSA-198347;R-HSA-351948;R-HSA-114252;R-HSA-351947;R-HSA-202960;R-HSA-114261;R-HSA-9627078;R-HSA-114263;R-HSA-114264;R-HSA-202969;R-HSA-114275;R-HSA-6790025;R-HSA-9627106;R-HSA-9627107;R-HSA-211186;R-HSA-9627104;R-HSA-211191;R-HSA-139895;R-HSA-211190;R-HSA-139893;R-HSA-139898;R-HSA-139899;R-HSA-211193;R-HSA-9627369;R-HSA-139897;R-HSA-4331327;R-HSA-4331324"
R-HSA-9028731,"Activated NTRK2 signals through FRS2 and FRS3",1,15,4,198,0.0010669322142399886,0.9149467342611399,0.9149467342611399,7,7,5.841121495327102E-4,9606,Homo sapiens,"BDNF","P23560",ID2;INSR;CREB5;IGF1R,O43559;Q06124,"R-HSA-9032073;R-HSA-9028728;R-HSA-9032426;R-HSA-9028730;R-HSA-9031981;R-HSA-9032067;R-HSA-9032402"
R-HSA-6804759,"Regulation of TP53 Activity through Association with Co-factors",1,17,0,193,0.0012091898428053204,0.9149467342611399,0.9149467342611399,2,11,9.17890520694259E-4,9606,Homo sapiens,"TP63","",,,"R-HSA-6799777;R-HSA-6799761"
R-HSA-9006335,"Signaling by Erythropoietin",0,34,1,180,0.0024183796856106408,0.9149467342611399,0.9149467342611399,1,24,0.0020026702269692926,9606,Homo sapiens,"","",INSR,P29353,"R-HSA-9027274"
R-HSA-69239,"Synthesis of DNA",0,132,1,96,0.0093890034853119,0.9149467342611399,0.9149467342611399,1,26,0.0021695594125500667,9606,Homo sapiens,"","",H3F3B;H3F3A,P49736,"R-HSA-69019"
R-HSA-168164,"Toll Like Receptor 3 (TLR3) Cascade",3,102,7,414,0.007255139056831923,0.9158585219863435,0.9158585219863435,13,60,0.005006675567423231,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",TLE1;BTG1;SGK1;ETS1;CCDC50;CREB5;FKBP5,Q13546;P01100;P15336;P05412;O15111;Q13158;P16220,"R-HSA-168930;R-HSA-9013889;R-HSA-168136;R-HSA-199917;R-HSA-450292;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-168053;R-HSA-168440;R-HSA-199935"
R-HSA-8941858,"Regulation of RUNX3 expression and activity",0,57,4,155,0.004054342414111956,0.9159538024601481,0.9159538024601481,9,9,7.510013351134847E-4,9606,Homo sapiens,"","",EGR1;TLE1;CITED2;RUNX1,Q13761;Q8N726;Q13951;Q09472,"R-HSA-8952408;R-HSA-8952382;R-HSA-8952399;R-HSA-8937807;R-HSA-8937792;R-HSA-8865454;R-HSA-8952419;R-HSA-8952371;R-HSA-8937814"
R-HSA-391251,"Protein folding",1,106,0,106,0.007539654313962587,0.9169489966694016,0.9169489966694016,2,28,0.002336448598130841,9606,Homo sapiens,"GNG11","",,,"R-HSA-6814418;R-HSA-8850560"
R-HSA-975957,"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",0,124,1,102,0.008819972971050572,0.9179324562997023,0.9179324562997023,1,5,4.1722296395193593E-4,9606,Homo sapiens,"","",RBM4,Q04637,"R-HSA-927830"
R-HSA-927802,"Nonsense-Mediated Decay (NMD)",0,124,1,102,0.008819972971050572,0.9179324562997023,0.9179324562997023,1,6,5.006675567423231E-4,9606,Homo sapiens,"","",RBM4,Q04637,"R-HSA-927830"
R-HSA-5654710,"PI-3K cascade:FGFR3",0,24,2,190,0.0017070915427839818,0.9179324562997023,0.9179324562997023,1,7,5.841121495327102E-4,9606,Homo sapiens,"","",INSR;IGF1R,P27986,"R-HSA-177931"
R-HSA-5654720,"PI-3K cascade:FGFR4",0,25,2,190,0.0017782203570666478,0.9189043191319933,0.9189043191319933,1,7,5.841121495327102E-4,9606,Homo sapiens,"","",INSR;IGF1R,P27986,"R-HSA-177931"
R-HSA-168638,"NOD1/2 Signaling Pathway",0,39,1,187,0.0027740237570239704,0.9189043191319933,0.9189043191319933,1,17,0.0014185580774365822,9606,Homo sapiens,"","",TLE1,Q9HC29,"R-HSA-168412"
R-HSA-192105,"Synthesis of bile acids and bile salts",0,111,4,101,0.007895298385375915,0.9189043191319933,0.9189043191319933,3,83,0.006925901201602136,9606,Homo sapiens,"","",EFEMP1;ELOVL4;KRT86;CREB5,Q9H2F3,"R-HSA-192097;R-HSA-193816;R-HSA-193789"
R-HSA-948021,"Transport to the Golgi and subsequent modification",3,219,2,280,0.015577210327903834,0.9193433239530764,0.9193433239530764,11,60,0.005006675567423231,9606,Homo sapiens,"ST6GAL1;DLC1;ANK3","P63167;P15907;Q12955",ELOVL4;CCDC14,O15155;O75396;O14653;P48730,"R-HSA-975902;R-HSA-6809015;R-HSA-6807877;R-HSA-6809011;R-HSA-6807875;R-HSA-6809010;R-HSA-6809006;R-HSA-5694415;R-HSA-6809003;R-HSA-5694425;R-HSA-5694441"
R-HSA-187037,"Signaling by NTRK1 (TRKA)",3,90,5,409,0.006401593285439932,0.9193433239530764,0.9193433239530764,10,59,0.004923230974632844,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",CNR1;INSR;DLC1;SGK1;BICD1,P40763;P19174;O96015;P29274;P16220,"R-HSA-199959;R-HSA-199895;R-HSA-177479;R-HSA-203797;R-HSA-167684;R-HSA-167674;R-HSA-199935;R-HSA-199917;R-HSA-187661;R-HSA-198732"
R-HSA-4755510,"SUMOylation of immune response proteins",0,11,2,208,7.82416957109325E-4,0.9198647213363315,0.9198647213363315,5,5,4.1722296395193593E-4,9606,Homo sapiens,"","",GRK5;SATB1,P25963;P63279,"R-HSA-4656914;R-HSA-4755536;R-HSA-4755411;R-HSA-4755478;R-HSA-4755479"
R-HSA-1839117,"Signaling by cytosolic FGFR1 fusion mutants",1,26,2,190,0.0018493491713493136,0.9198647213363315,0.9198647213363315,8,14,0.0011682242990654205,9606,Homo sapiens,"ZMYM2","Q9UBW7",INSR;IGF1R,P27986,"R-HSA-1839039;R-HSA-1839112;R-HSA-1839080;R-HSA-1839065;R-HSA-1839114;R-HSA-1839078;R-HSA-1839031;R-HSA-1839091"
